iter	Passed	Remaining
0	2	2615
1	4	2330
2	7	2370
3	10	2524
4	12	2466
5	14	2396
6	17	2424
7	18	2339
8	20	2278
9	23	2280
10	26	2356
11	28	2345
12	30	2322
13	32	2302
14	34	2289
15	37	2281
16	40	2332
17	43	2357
18	45	2345
19	47	2336
20	49	2327
21	52	2321
22	57	2443
23	60	2453
24	62	2449
25	64	2431
26	67	2422
27	70	2438
28	73	2451
29	75	2433
30	77	2423
31	79	2410
32	81	2400
33	84	2396
34	86	2394
35	89	2383
36	91	2369
37	93	2355
38	95	2343
39	97	2328
40	100	2342
41	102	2343
42	104	2335
43	107	2325
44	109	2318
45	111	2311
46	113	2301
47	116	2316
48	119	2318
49	121	2314
50	124	2308
51	126	2304
52	130	2331
53	133	2333
54	135	2328
55	137	2322
56	139	2316
57	142	2313
58	145	2313
59	147	2313
60	149	2308
61	152	2301
62	154	2291
63	156	2288
64	158	2276
65	161	2282
66	163	2283
67	166	2277
68	168	2270
69	170	2266
70	172	2261
71	174	2251
72	177	2258
73	180	2262
74	183	2262
75	185	2257
76	187	2253
77	191	2258
78	193	2254
79	195	2251
80	198	2248
81	200	2245
82	202	2240
83	205	2242
84	208	2240
85	210	2236
86	212	2233
87	215	2231
88	217	2228
89	220	2226
90	222	2222
91	224	2218
92	227	2217
93	229	2215
94	232	2210
95	234	2206
96	237	2209
97	240	2211
98	242	2204
99	244	2199
100	246	2193
101	248	2189
102	251	2190
103	254	2189
104	256	2185
105	258	2179
106	260	2173
107	262	2166
108	264	2161
109	267	2165
110	270	2164
111	272	2160
112	274	2154
113	276	2148
114	278	2144
115	281	2143
116	283	2141
117	286	2137
118	288	2133
119	290	2127
120	292	2123
121	294	2118
122	297	2120
123	299	2114
124	301	2109
125	303	2103
126	305	2099
127	307	2094
128	309	2089
129	312	2089
130	314	2085
131	316	2080
132	318	2076
133	320	2071
134	322	2066
135	324	2061
136	327	2060
137	329	2058
138	331	2053
139	333	2049
140	335	2044
141	337	2038
142	339	2035
143	342	2033
144	344	2030
145	346	2026
146	348	2021
147	350	2017
148	352	2012
149	354	2009
150	357	2007
151	359	2005
152	361	2000
153	363	1996
154	365	1993
155	368	1991
156	370	1987
157	372	1985
158	374	1982
159	376	1978
160	378	1974
161	380	1970
162	382	1966
163	385	1962
164	388	1965
165	391	1966
166	393	1963
167	396	1962
168	399	1962
169	402	1963
170	404	1963
171	407	1960
172	409	1958
173	411	1955
174	414	1952
175	416	1949
176	418	1946
177	420	1943
178	422	1939
179	424	1935
180	426	1931
181	428	1927
182	431	1925
183	433	1924
184	435	1920
185	437	1916
186	439	1912
187	441	1908
188	443	1905
189	446	1902
190	448	1901
191	451	1899
192	453	1896
193	455	1892
